Country,numSubmissions,Latitude,Longitude
"US","6635","41.5932998657227","-87.1561965942383"
"IN","3108","22.7667007446289","74.6999969482422"
"GB","1365","52.63330078125","-2.5"
"CA","1026","42.9832992553711","-79.25"
"ES","901","36.5105018615723","-4.88570022583008"
"AU","795","-27.4666996002197","153.050003051758"
"IT","759","40.8333015441895","14.25"
"PL","619","52.13330078125","20.8166999816895"
"BR","614","-30.0333003997803","-51.2000007629395"
"NL","544","52.1559982299805","5.3895001411438"
"GR","535","38.3678016662598","26.135799407959"
"RU","490","55.7522010803223","37.6156005859375"
"DE","470","48.4000015258789","11.7333002090454"
"SG","452","1.43330001831055","103.831100463867"
"CN","352","28.0832996368408","115.516700744629"
"FR","319","48.7167015075684","2.24909996986389"
"BE","242","51.1833000183105","4.83330011367798"
"JP","225","36.0499992370605","140.166702270508"
"TW","174","22.9932994842529","120.203598022461"
"HK","173","22.2833003997803","114.150001525879"
"CH","166","47.1950988769531","8.48579978942871"
"NZ","156","-37.9166984558105","176.86669921875"
"DK","147","55.6833000183105","12.5"
"PT","146","40.5373001098633","-7.26569986343384"
"SA","140","24.1821994781494","47.328800201416"
"KR","131","37.5332984924316","126.966697692871"
"AT","127","48.4500007629395","14.0832996368408"
"HU","125","47.2332992553711","16.61669921875"
"ZA","122","-26.1784000396729","27.690299987793"
"FI","121","61.5","23.75"
"CZ","120","50.154899597168","14.1875"
"AE","116","25.2821998596191","55.8903007507324"
"MY","115","3.16669988632202","101.699996948242"
"MX","111","18.8500003814697","-97.9000015258789"
"CL","110","-35.4333000183105","-71.6667022705078"
"TR","106","36.9104995727539","30.6853008270264"
"VN","99","20.7000007629395","105.36669921875"
"AR","98","-34.4714012145996","-58.5078010559082"
"SE","97","59.4667015075684","17.8999996185303"
"PH","95","15.5511999130249","120.814697265625"
"HR","86","45.3431015014648","14.4091997146606"
"RO","84","45.38330078125","22.3332996368408"
"BD","81","22.3635997772217","91.8032989501953"
"SK","77","49.0499992370605","20.2999992370605"
"RS","72","44.0992012023926","21.0018997192383"
"CO","67","1.17869997024536","-76.8785018920898"
"IE","63","52.815601348877","-8.96669960021973"
"UA","61","44.9571990966797","34.1108016967773"
"EU","61","47","8"
"JM","59","17.9500007629395","-77.0667037963867"
"PK","58","30.4067993164063","71.86669921875"
"ID","49","-1.7166999578476","105.933296203613"
"PE","46","-16.3988990783691","-71.5350036621094"
"TH","43","11.8086004257202","99.7966995239258"
"NO","41","60.3732986450195","5.15749979019165"
"IL","41","32.3329010009766","34.8599014282227"
"LT","40","55.5","25.6000003814697"
"NG","34","12.3166999816895","6.63329982757568"
"PA","29","8.06669998168945","-81.36669921875"
"VE","28","8.55140018463135","-71.2375030517578"
"BO","27","-16.5","-68.1500015258789"
"MO","24","22.1499996185303","113.550003051758"
"GT","23","15.0086002349854","-91.0650024414063"
"KE","22","-0.416700005531311","34.2000007629395"
"LV","22","57.38330078125","25.4167003631592"
"LB","21","33.5922012329102","35.9233016967773"
"EE","20","58.0602989196777","27.0694007873535"
"EC","19","-0.216700002551079","-78.5"
"EG","19","31.4193992614746","31.8150005340576"
"SB","15","-8","159"
"MN","15","46","105"
"FJ","14","-18","175"
"CR","13","9.82639980316162","-83.4405975341797"
"KW","13","29.0825004577637","48.130298614502"
"JO","13","31.184700012207","35.7047004699707"
"GH","11","7.5","0.449999988079071"
"AP","11","35","105"
"SD","10","9.53689956665039","31.656099319458"
"AW","8","12.5","-69.9666976928711"
"ET","8","8","38"
"ME","8","42.8424987792969","19.8733005523682"
"NP","8","28","84"
"A1","8","0","0"
"BG","7","43.8563995361328","25.9708003997803"
"DZ","7","36.5416984558105","4.87169981002808"
"BY","7","53.13330078125","26.0333003997803"
"MC","6","43.7332992553711","7.40000009536743"
"CY","5","35.0666999816895","33.9583015441895"
"MT","5","35.9197006225586","14.4843997955322"
"IM","4","54.1666984558105","-4.73330020904541"
"LK","4","7.71670007705688","81.6999969482422"
"UY","3","-34.8581008911133","-56.1707992553711"
"HN","2","14.6167001724243","-88.86669921875"
"PR","2","18.441499710083","-66.1447982788086"
"AM","1","40.2158012390137","44.4810981750488"
"CG","1","-4.79470014572144","11.8460998535156"
